ex,metric,ALL,AC,DC,beats_per_window,edge_weight,edge_direction,fft
100,node_connectivity,0.0011137483848680464,-0.05369949388760527,0.07767935753252901,4,,,False
100,average_node_connectivity,0.015258488675757116,-0.009102553946410732,0.04437943922420533,4,,,False
100,average_clustering,0.03473116791522723,0.05888553011428925,-0.021490769815983995,4,,,False
100,edge_connectivity,0.0011137483848680464,-0.05369949388760527,0.07767935753252901,4,,,False
100,degree_assortativity_coefficient,,,,4,,,False
100,degree_pearson_correlation_coefficient,,,,4,,,False
100,global_reaching_centrality,0.01776839398482089,0.10680650592730685,-0.11527580079613532,4,,,False
100,average_shortest_path_length,-0.030472527368091057,-0.0429997327167313,0.0041885174724208725,4,,,False
100,number_of_isolates,,,,4,,,False
100,wiener_index,-0.030472527368090974,-0.04299973271673124,0.004188517472420852,4,,,False
100,density,0.02060628800582868,0.008272144044587775,0.027002124301406576,4,,,False
100,diameter,-0.02951017880048998,-0.043794345436425325,-0.009568897380820292,4,,,False
100,radius,-0.04845278831749742,-0.11968555873280236,0.07991986334091518,4,,,False
100,estrada_index,0.013472654409330332,-0.01406924390518754,0.05226129950771683,4,,,False
100,graph_clique_number,0.02951017880048998,0.043794345436425325,0.009568897380820292,4,,,False
100,graph_number_of_cliques,-0.02951017880048998,-0.043794345436425325,-0.009568897380820292,4,,,False
100,number_connected_components,,,,4,,,False
100,local_efficiency,0.03433187623383236,0.05747735287883955,-0.0248547634727021,4,,,False
100,global_efficiency,0.024673676178873026,0.022246465359817166,0.014681592380844122,4,,,False
100,local_edge_connectivity,0.0011137483848680464,-0.05369949388760527,0.07767935753252901,4,,,False
100,local_node_connectivity,0.0011137483848680464,-0.05369949388760527,0.07767935753252901,4,,,False
100,closeness_centrality,0.07602317806955713,-0.19730245225194962,-0.19928475125542344,4,,,False
100,dispersion,,,,4,,,False
100,shortest_path_length_left_to_right,-0.02946222143938446,-0.03996591266975245,0.015488574534596912,4,,,False
100,maximum_flow_value_left_to_right,0.0011137483848680464,-0.05369949388760527,0.07767935753252901,4,,,False
100,minimum_cut_value_left_to_right,0.0011137483848680464,-0.05369949388760527,0.07767935753252901,4,,,False
100,node_connectivity,-0.24192330348759347,0.10199914461686964,0.17191179754912375,4,,left_to_right,False
100,average_node_connectivity,0.014753747107453145,-0.009602060720685233,0.04973322391278962,4,,left_to_right,False
100,average_clustering,0.03473116791522723,0.05888553011428925,-0.021490769815983995,4,,left_to_right,False
100,edge_connectivity,,,,4,,left_to_right,False
100,degree_assortativity_coefficient,,,,4,,left_to_right,False
100,degree_pearson_correlation_coefficient,,,,4,,left_to_right,False
100,global_reaching_centrality,1.1374761059832517e-16,-1.9795194852753192e-16,,4,,left_to_right,False
100,number_strongly_connected_components,,,,4,,left_to_right,False
100,number_weakly_connected_components,,,,4,,left_to_right,False
100,number_attracting_components,,,,4,,left_to_right,False
100,dag_longest_path_length,,,,4,,left_to_right,False
100,average_shortest_path_length,-0.030472527368091057,-0.0429997327167313,0.0041885174724208725,4,,left_to_right,False
100,flow_hierarchy,,,,4,,left_to_right,False
100,number_of_isolates,,,,4,,left_to_right,False
100,wiener_index,,,,4,,left_to_right,False
100,density,0.02060628800582868,0.008272144044587775,0.027002124301406576,4,,left_to_right,False
100,local_edge_connectivity,0.0011137483848680464,-0.05369949388760527,0.07767935753252901,4,,left_to_right,False
100,local_reaching_centrality,1.1374761059832517e-16,-1.9795194852753192e-16,,4,,left_to_right,False
100,closeness_centrality,0.07602317806955719,-0.19730245225194964,-0.1992847512554235,4,,left_to_right,False
100,dispersion,,,,4,,left_to_right,False
100,shortest_path_length_left_to_right,-0.02946222143938446,-0.03996591266975245,0.015488574534596912,4,,left_to_right,False
100,maximum_flow_value_left_to_right,0.0011137483848680464,-0.05369949388760527,0.07767935753252901,4,,left_to_right,False
100,minimum_cut_value_left_to_right,0.0011137483848680464,-0.05369949388760527,0.07767935753252901,4,,left_to_right,False
100,node_connectivity,0.0011137483848680464,-0.05369949388760527,0.07767935753252901,4,slope,,False
100,average_node_connectivity,0.015258488675757116,-0.009102553946410732,0.04437943922420533,4,slope,,False
100,average_clustering,0.03473116791522723,0.05888553011428925,-0.021490769815983995,4,slope,,False
100,edge_connectivity,0.0011137483848680464,-0.05369949388760527,0.07767935753252901,4,slope,,False
100,degree_assortativity_coefficient,,,,4,slope,,False
100,degree_pearson_correlation_coefficient,,,,4,slope,,False
100,global_reaching_centrality,0.01776839398482089,0.10680650592730685,-0.11527580079613532,4,slope,,False
100,average_shortest_path_length,-0.030472527368091057,-0.0429997327167313,0.0041885174724208725,4,slope,,False
100,number_of_isolates,,,,4,slope,,False
100,wiener_index,-0.030472527368090974,-0.04299973271673124,0.004188517472420852,4,slope,,False
100,density,0.02060628800582868,0.008272144044587775,0.027002124301406576,4,slope,,False
100,diameter,-0.02951017880048998,-0.043794345436425325,-0.009568897380820292,4,slope,,False
100,radius,-0.04845278831749742,-0.11968555873280236,0.07991986334091518,4,slope,,False
100,estrada_index,0.005075631339601397,-0.07620834199514522,0.0493125770539384,4,slope,,False
100,graph_clique_number,0.02951017880048998,0.043794345436425325,0.009568897380820292,4,slope,,False
100,graph_number_of_cliques,-0.02951017880048998,-0.043794345436425325,-0.009568897380820292,4,slope,,False
100,number_connected_components,,,,4,slope,,False
100,local_efficiency,0.03433187623383236,0.05747735287883955,-0.0248547634727021,4,slope,,False
100,global_efficiency,0.024673676178873026,0.022246465359817166,0.014681592380844122,4,slope,,False
100,local_edge_connectivity,0.0011137483848680464,-0.05369949388760527,0.07767935753252901,4,slope,,False
100,local_node_connectivity,0.0011137483848680464,-0.05369949388760527,0.07767935753252901,4,slope,,False
100,closeness_centrality,0.07602317806955713,-0.19730245225194962,-0.19928475125542344,4,slope,,False
100,dispersion,,,,4,slope,,False
100,shortest_path_length_left_to_right,,,,4,slope,,False
100,maximum_flow_value_left_to_right,0.5408154638118264,0.46184863939229415,0.5342246802309817,4,slope,,False
100,minimum_cut_value_left_to_right,0.5408154638118264,0.46184863939229415,0.5342246802309817,4,slope,,False
100,node_connectivity,-0.24192330348759347,0.10199914461686964,0.17191179754912375,4,slope,left_to_right,False
100,average_node_connectivity,0.014753747107453145,-0.009602060720685233,0.04973322391278962,4,slope,left_to_right,False
100,average_clustering,0.03473116791522723,0.05888553011428925,-0.021490769815983995,4,slope,left_to_right,False
100,edge_connectivity,,,,4,slope,left_to_right,False
100,degree_assortativity_coefficient,,,,4,slope,left_to_right,False
100,degree_pearson_correlation_coefficient,,,,4,slope,left_to_right,False
100,global_reaching_centrality,1.1374761059832517e-16,-1.9795194852753192e-16,,4,slope,left_to_right,False
100,number_strongly_connected_components,,,,4,slope,left_to_right,False
100,number_weakly_connected_components,,,,4,slope,left_to_right,False
100,number_attracting_components,,,,4,slope,left_to_right,False
100,dag_longest_path_length,0.7220950095917728,0.5624043926793973,0.713631556217094,4,slope,left_to_right,False
100,average_shortest_path_length,-0.030472527368091057,-0.0429997327167313,0.0041885174724208725,4,slope,left_to_right,False
100,flow_hierarchy,,,,4,slope,left_to_right,False
100,number_of_isolates,,,,4,slope,left_to_right,False
100,wiener_index,,,,4,slope,left_to_right,False
100,density,0.02060628800582868,0.008272144044587775,0.027002124301406576,4,slope,left_to_right,False
100,local_edge_connectivity,0.0011137483848680464,-0.05369949388760527,0.07767935753252901,4,slope,left_to_right,False
100,local_reaching_centrality,1.1374761059832517e-16,-1.9795194852753192e-16,,4,slope,left_to_right,False
100,closeness_centrality,0.07602317806955719,-0.19730245225194964,-0.1992847512554235,4,slope,left_to_right,False
100,dispersion,,,,4,slope,left_to_right,False
100,shortest_path_length_left_to_right,0.921806969099467,0.9653581030646111,0.9234286054675437,4,slope,left_to_right,False
100,maximum_flow_value_left_to_right,0.5408154638118264,0.46184863939229415,0.5342246802309817,4,slope,left_to_right,False
100,minimum_cut_value_left_to_right,0.5408154638118264,0.46184863939229415,0.5342246802309817,4,slope,left_to_right,False
100,node_connectivity,0.0011137483848680464,-0.05369949388760527,0.07767935753252901,4,abs_slope,,False
100,average_node_connectivity,0.015258488675757116,-0.009102553946410732,0.04437943922420533,4,abs_slope,,False
100,average_clustering,0.03473116791522723,0.05888553011428925,-0.021490769815983995,4,abs_slope,,False
100,edge_connectivity,0.0011137483848680464,-0.05369949388760527,0.07767935753252901,4,abs_slope,,False
100,degree_assortativity_coefficient,,,,4,abs_slope,,False
100,degree_pearson_correlation_coefficient,,,,4,abs_slope,,False
100,global_reaching_centrality,0.01776839398482089,0.10680650592730685,-0.11527580079613532,4,abs_slope,,False
100,average_shortest_path_length,-0.030472527368091057,-0.0429997327167313,0.0041885174724208725,4,abs_slope,,False
100,number_of_isolates,,,,4,abs_slope,,False
100,wiener_index,-0.030472527368090974,-0.04299973271673124,0.004188517472420852,4,abs_slope,,False
100,density,0.02060628800582868,0.008272144044587775,0.027002124301406576,4,abs_slope,,False
100,diameter,-0.02951017880048998,-0.043794345436425325,-0.009568897380820292,4,abs_slope,,False
100,radius,-0.04845278831749742,-0.11968555873280236,0.07991986334091518,4,abs_slope,,False
100,estrada_index,0.005075631339601397,-0.07620834199514522,0.0493125770539384,4,abs_slope,,False
100,graph_clique_number,0.02951017880048998,0.043794345436425325,0.009568897380820292,4,abs_slope,,False
100,graph_number_of_cliques,-0.02951017880048998,-0.043794345436425325,-0.009568897380820292,4,abs_slope,,False
100,number_connected_components,,,,4,abs_slope,,False
100,local_efficiency,0.03433187623383236,0.05747735287883955,-0.0248547634727021,4,abs_slope,,False
100,global_efficiency,0.024673676178873026,0.022246465359817166,0.014681592380844122,4,abs_slope,,False
100,local_edge_connectivity,0.0011137483848680464,-0.05369949388760527,0.07767935753252901,4,abs_slope,,False
100,local_node_connectivity,0.0011137483848680464,-0.05369949388760527,0.07767935753252901,4,abs_slope,,False
100,closeness_centrality,0.07602317806955713,-0.19730245225194962,-0.19928475125542344,4,abs_slope,,False
100,dispersion,,,,4,abs_slope,,False
100,shortest_path_length_left_to_right,-0.3457631128910867,-0.4693822723575932,-0.32134435902901115,4,abs_slope,,False
100,maximum_flow_value_left_to_right,-0.17719608384342161,-0.38473101014030153,0.046213950132869386,4,abs_slope,,False
100,minimum_cut_value_left_to_right,-0.17719608384342161,-0.38473101014030153,0.046213950132869386,4,abs_slope,,False
100,node_connectivity,-0.24192330348759347,0.10199914461686964,0.17191179754912375,4,abs_slope,left_to_right,False
100,average_node_connectivity,0.014753747107453145,-0.009602060720685233,0.04973322391278962,4,abs_slope,left_to_right,False
100,average_clustering,0.03473116791522723,0.05888553011428925,-0.021490769815983995,4,abs_slope,left_to_right,False
100,edge_connectivity,,,,4,abs_slope,left_to_right,False
100,degree_assortativity_coefficient,,,,4,abs_slope,left_to_right,False
100,degree_pearson_correlation_coefficient,,,,4,abs_slope,left_to_right,False
100,global_reaching_centrality,1.1374761059832517e-16,-1.9795194852753192e-16,,4,abs_slope,left_to_right,False
100,number_strongly_connected_components,,,,4,abs_slope,left_to_right,False
100,number_weakly_connected_components,,,,4,abs_slope,left_to_right,False
100,number_attracting_components,,,,4,abs_slope,left_to_right,False
100,dag_longest_path_length,-0.4457119314868786,-0.6065857671377473,-0.4207793231951812,4,abs_slope,left_to_right,False
100,average_shortest_path_length,-0.030472527368091057,-0.0429997327167313,0.0041885174724208725,4,abs_slope,left_to_right,False
100,flow_hierarchy,,,,4,abs_slope,left_to_right,False
100,number_of_isolates,,,,4,abs_slope,left_to_right,False
100,wiener_index,,,,4,abs_slope,left_to_right,False
100,density,0.02060628800582868,0.008272144044587775,0.027002124301406576,4,abs_slope,left_to_right,False
100,local_edge_connectivity,0.0011137483848680464,-0.05369949388760527,0.07767935753252901,4,abs_slope,left_to_right,False
100,local_reaching_centrality,1.1374761059832517e-16,-1.9795194852753192e-16,,4,abs_slope,left_to_right,False
100,closeness_centrality,0.07602317806955719,-0.19730245225194964,-0.1992847512554235,4,abs_slope,left_to_right,False
100,dispersion,,,,4,abs_slope,left_to_right,False
100,shortest_path_length_left_to_right,-0.3457631128910867,-0.4693822723575932,-0.32134435902901115,4,abs_slope,left_to_right,False
100,maximum_flow_value_left_to_right,-0.17719608384342161,-0.38473101014030153,0.046213950132869386,4,abs_slope,left_to_right,False
100,minimum_cut_value_left_to_right,-0.17719608384342161,-0.38473101014030153,0.046213950132869386,4,abs_slope,left_to_right,False
100,node_connectivity,0.0011137483848680464,-0.05369949388760527,0.07767935753252901,4,angle,,False
100,average_node_connectivity,0.015258488675757116,-0.009102553946410732,0.04437943922420533,4,angle,,False
100,average_clustering,0.03473116791522723,0.05888553011428925,-0.021490769815983995,4,angle,,False
100,edge_connectivity,0.0011137483848680464,-0.05369949388760527,0.07767935753252901,4,angle,,False
100,degree_assortativity_coefficient,,,,4,angle,,False
100,degree_pearson_correlation_coefficient,,,,4,angle,,False
100,global_reaching_centrality,0.01776839398482089,0.10680650592730685,-0.11527580079613532,4,angle,,False
100,average_shortest_path_length,-0.030472527368091057,-0.0429997327167313,0.0041885174724208725,4,angle,,False
100,number_of_isolates,,,,4,angle,,False
100,wiener_index,-0.030472527368090974,-0.04299973271673124,0.004188517472420852,4,angle,,False
100,density,0.02060628800582868,0.008272144044587775,0.027002124301406576,4,angle,,False
100,diameter,-0.02951017880048998,-0.043794345436425325,-0.009568897380820292,4,angle,,False
100,radius,-0.04845278831749742,-0.11968555873280236,0.07991986334091518,4,angle,,False
100,estrada_index,0.005075631339601397,-0.07620834199514522,0.0493125770539384,4,angle,,False
100,graph_clique_number,0.02951017880048998,0.043794345436425325,0.009568897380820292,4,angle,,False
100,graph_number_of_cliques,-0.02951017880048998,-0.043794345436425325,-0.009568897380820292,4,angle,,False
100,number_connected_components,,,,4,angle,,False
100,local_efficiency,0.03433187623383236,0.05747735287883955,-0.0248547634727021,4,angle,,False
100,global_efficiency,0.024673676178873026,0.022246465359817166,0.014681592380844122,4,angle,,False
100,local_edge_connectivity,0.0011137483848680464,-0.05369949388760527,0.07767935753252901,4,angle,,False
100,local_node_connectivity,0.0011137483848680464,-0.05369949388760527,0.07767935753252901,4,angle,,False
100,closeness_centrality,0.07602317806955713,-0.19730245225194962,-0.19928475125542344,4,angle,,False
100,dispersion,,,,4,angle,,False
100,shortest_path_length_left_to_right,,,,4,angle,,False
100,maximum_flow_value_left_to_right,0.5650195598570473,0.5117671990048398,0.51708056443404,4,angle,,False
100,minimum_cut_value_left_to_right,0.5650195598570473,0.5117671990048398,0.51708056443404,4,angle,,False
100,node_connectivity,-0.24192330348759347,0.10199914461686964,0.17191179754912375,4,angle,left_to_right,False
100,average_node_connectivity,0.014753747107453145,-0.009602060720685233,0.04973322391278962,4,angle,left_to_right,False
100,average_clustering,0.03473116791522723,0.05888553011428925,-0.021490769815983995,4,angle,left_to_right,False
100,edge_connectivity,,,,4,angle,left_to_right,False
100,degree_assortativity_coefficient,,,,4,angle,left_to_right,False
100,degree_pearson_correlation_coefficient,,,,4,angle,left_to_right,False
100,global_reaching_centrality,1.1374761059832517e-16,-1.9795194852753192e-16,,4,angle,left_to_right,False
100,number_strongly_connected_components,,,,4,angle,left_to_right,False
100,number_weakly_connected_components,,,,4,angle,left_to_right,False
100,number_attracting_components,,,,4,angle,left_to_right,False
100,dag_longest_path_length,0.77858048110261,0.6071704354403763,0.688730312990411,4,angle,left_to_right,False
100,average_shortest_path_length,-0.030472527368091057,-0.0429997327167313,0.0041885174724208725,4,angle,left_to_right,False
100,flow_hierarchy,,,,4,angle,left_to_right,False
100,number_of_isolates,,,,4,angle,left_to_right,False
100,wiener_index,,,,4,angle,left_to_right,False
100,density,0.02060628800582868,0.008272144044587775,0.027002124301406576,4,angle,left_to_right,False
100,local_edge_connectivity,0.0011137483848680464,-0.05369949388760527,0.07767935753252901,4,angle,left_to_right,False
100,local_reaching_centrality,1.1374761059832517e-16,-1.9795194852753192e-16,,4,angle,left_to_right,False
100,closeness_centrality,0.07602317806955719,-0.19730245225194964,-0.1992847512554235,4,angle,left_to_right,False
100,dispersion,,,,4,angle,left_to_right,False
100,shortest_path_length_left_to_right,0.7880691825418914,0.7192597875379532,0.6642479081654219,4,angle,left_to_right,False
100,maximum_flow_value_left_to_right,0.5650195598570473,0.5117671990048398,0.51708056443404,4,angle,left_to_right,False
100,minimum_cut_value_left_to_right,0.5650195598570473,0.5117671990048398,0.51708056443404,4,angle,left_to_right,False
100,node_connectivity,0.0011137483848680464,-0.05369949388760527,0.07767935753252901,4,abs_angle,,False
100,average_node_connectivity,0.015258488675757116,-0.009102553946410732,0.04437943922420533,4,abs_angle,,False
100,average_clustering,0.03473116791522723,0.05888553011428925,-0.021490769815983995,4,abs_angle,,False
100,edge_connectivity,0.0011137483848680464,-0.05369949388760527,0.07767935753252901,4,abs_angle,,False
100,degree_assortativity_coefficient,,,,4,abs_angle,,False
100,degree_pearson_correlation_coefficient,,,,4,abs_angle,,False
100,global_reaching_centrality,0.01776839398482089,0.10680650592730685,-0.11527580079613532,4,abs_angle,,False
100,average_shortest_path_length,-0.030472527368091057,-0.0429997327167313,0.0041885174724208725,4,abs_angle,,False
100,number_of_isolates,,,,4,abs_angle,,False
100,wiener_index,-0.030472527368090974,-0.04299973271673124,0.004188517472420852,4,abs_angle,,False
100,density,0.02060628800582868,0.008272144044587775,0.027002124301406576,4,abs_angle,,False
100,diameter,-0.02951017880048998,-0.043794345436425325,-0.009568897380820292,4,abs_angle,,False
100,radius,-0.04845278831749742,-0.11968555873280236,0.07991986334091518,4,abs_angle,,False
100,estrada_index,0.005075631339601397,-0.07620834199514522,0.0493125770539384,4,abs_angle,,False
100,graph_clique_number,0.02951017880048998,0.043794345436425325,0.009568897380820292,4,abs_angle,,False
100,graph_number_of_cliques,-0.02951017880048998,-0.043794345436425325,-0.009568897380820292,4,abs_angle,,False
100,number_connected_components,,,,4,abs_angle,,False
100,local_efficiency,0.03433187623383236,0.05747735287883955,-0.0248547634727021,4,abs_angle,,False
100,global_efficiency,0.024673676178873026,0.022246465359817166,0.014681592380844122,4,abs_angle,,False
100,local_edge_connectivity,0.0011137483848680464,-0.05369949388760527,0.07767935753252901,4,abs_angle,,False
100,local_node_connectivity,0.0011137483848680464,-0.05369949388760527,0.07767935753252901,4,abs_angle,,False
100,closeness_centrality,0.07602317806955713,-0.19730245225194962,-0.19928475125542344,4,abs_angle,,False
100,dispersion,,,,4,abs_angle,,False
100,shortest_path_length_left_to_right,-0.05174435886637689,-0.15888496449844308,0.07494450752281824,4,abs_angle,,False
100,maximum_flow_value_left_to_right,-0.024697136071827726,-0.12519428971339708,0.08282940694977352,4,abs_angle,,False
100,minimum_cut_value_left_to_right,-0.024697136071827726,-0.12519428971339708,0.08282940694977352,4,abs_angle,,False
100,node_connectivity,-0.24192330348759347,0.10199914461686964,0.17191179754912375,4,abs_angle,left_to_right,False
100,average_node_connectivity,0.014753747107453145,-0.009602060720685233,0.04973322391278962,4,abs_angle,left_to_right,False
100,average_clustering,0.03473116791522723,0.05888553011428925,-0.021490769815983995,4,abs_angle,left_to_right,False
100,edge_connectivity,,,,4,abs_angle,left_to_right,False
100,degree_assortativity_coefficient,,,,4,abs_angle,left_to_right,False
100,degree_pearson_correlation_coefficient,,,,4,abs_angle,left_to_right,False
100,global_reaching_centrality,1.1374761059832517e-16,-1.9795194852753192e-16,,4,abs_angle,left_to_right,False
100,number_strongly_connected_components,,,,4,abs_angle,left_to_right,False
100,number_weakly_connected_components,,,,4,abs_angle,left_to_right,False
100,number_attracting_components,,,,4,abs_angle,left_to_right,False
100,dag_longest_path_length,-0.06099023500949547,-0.27910670358333045,0.07791145025556351,4,abs_angle,left_to_right,False
100,average_shortest_path_length,-0.030472527368091057,-0.0429997327167313,0.0041885174724208725,4,abs_angle,left_to_right,False
100,flow_hierarchy,,,,4,abs_angle,left_to_right,False
100,number_of_isolates,,,,4,abs_angle,left_to_right,False
100,wiener_index,,,,4,abs_angle,left_to_right,False
100,density,0.02060628800582868,0.008272144044587775,0.027002124301406576,4,abs_angle,left_to_right,False
100,local_edge_connectivity,0.0011137483848680464,-0.05369949388760527,0.07767935753252901,4,abs_angle,left_to_right,False
100,local_reaching_centrality,1.1374761059832517e-16,-1.9795194852753192e-16,,4,abs_angle,left_to_right,False
100,closeness_centrality,0.07602317806955719,-0.19730245225194964,-0.1992847512554235,4,abs_angle,left_to_right,False
100,dispersion,,,,4,abs_angle,left_to_right,False
100,shortest_path_length_left_to_right,-0.05174435886637689,-0.15888496449844308,0.07494450752281824,4,abs_angle,left_to_right,False
100,maximum_flow_value_left_to_right,-0.024697136071827726,-0.12519428971339708,0.08282940694977352,4,abs_angle,left_to_right,False
100,minimum_cut_value_left_to_right,-0.024697136071827726,-0.12519428971339708,0.08282940694977352,4,abs_angle,left_to_right,False
100,node_connectivity,0.0011137483848680464,-0.05369949388760527,0.07767935753252901,4,distance,,False
100,average_node_connectivity,0.015258488675757116,-0.009102553946410732,0.04437943922420533,4,distance,,False
100,average_clustering,0.03473116791522723,0.05888553011428925,-0.021490769815983995,4,distance,,False
100,edge_connectivity,0.0011137483848680464,-0.05369949388760527,0.07767935753252901,4,distance,,False
100,degree_assortativity_coefficient,,,,4,distance,,False
100,degree_pearson_correlation_coefficient,,,,4,distance,,False
100,global_reaching_centrality,0.01776839398482089,0.10680650592730685,-0.11527580079613532,4,distance,,False
100,average_shortest_path_length,-0.030472527368091057,-0.0429997327167313,0.0041885174724208725,4,distance,,False
100,number_of_isolates,,,,4,distance,,False
100,wiener_index,-0.030472527368090974,-0.04299973271673124,0.004188517472420852,4,distance,,False
100,density,0.02060628800582868,0.008272144044587775,0.027002124301406576,4,distance,,False
100,diameter,-0.02951017880048998,-0.043794345436425325,-0.009568897380820292,4,distance,,False
100,radius,-0.04845278831749742,-0.11968555873280236,0.07991986334091518,4,distance,,False
100,estrada_index,0.013472654409330332,-0.01406924390518754,0.05226129950771683,4,distance,,False
100,graph_clique_number,0.02951017880048998,0.043794345436425325,0.009568897380820292,4,distance,,False
100,graph_number_of_cliques,-0.02951017880048998,-0.043794345436425325,-0.009568897380820292,4,distance,,False
100,number_connected_components,,,,4,distance,,False
100,local_efficiency,0.03433187623383236,0.05747735287883955,-0.0248547634727021,4,distance,,False
100,global_efficiency,0.024673676178873026,0.022246465359817166,0.014681592380844122,4,distance,,False
100,local_edge_connectivity,0.0011137483848680464,-0.05369949388760527,0.07767935753252901,4,distance,,False
100,local_node_connectivity,0.0011137483848680464,-0.05369949388760527,0.07767935753252901,4,distance,,False
100,closeness_centrality,0.07602317806955713,-0.19730245225194962,-0.19928475125542344,4,distance,,False
100,dispersion,,,,4,distance,,False
100,shortest_path_length_left_to_right,-0.4293063274029093,-0.6683265710833316,-0.2752493515757756,4,distance,,False
100,maximum_flow_value_left_to_right,-0.19885841034842197,-0.3917237865484783,0.023819055386417688,4,distance,,False
100,minimum_cut_value_left_to_right,-0.19885841034842197,-0.3917237865484783,0.023819055386417688,4,distance,,False
100,node_connectivity,-0.24192330348759347,0.10199914461686964,0.17191179754912375,4,distance,left_to_right,False
100,average_node_connectivity,0.014753747107453145,-0.009602060720685233,0.04973322391278962,4,distance,left_to_right,False
100,average_clustering,0.03473116791522723,0.05888553011428925,-0.021490769815983995,4,distance,left_to_right,False
100,edge_connectivity,,,,4,distance,left_to_right,False
100,degree_assortativity_coefficient,,,,4,distance,left_to_right,False
100,degree_pearson_correlation_coefficient,,,,4,distance,left_to_right,False
100,global_reaching_centrality,1.1374761059832517e-16,-1.9795194852753192e-16,,4,distance,left_to_right,False
100,number_strongly_connected_components,,,,4,distance,left_to_right,False
100,number_weakly_connected_components,,,,4,distance,left_to_right,False
100,number_attracting_components,,,,4,distance,left_to_right,False
100,dag_longest_path_length,-0.4488189269561526,-0.6060261221512788,-0.4262416650703429,4,distance,left_to_right,False
100,average_shortest_path_length,-0.030472527368091057,-0.0429997327167313,0.0041885174724208725,4,distance,left_to_right,False
100,flow_hierarchy,,,,4,distance,left_to_right,False
100,number_of_isolates,,,,4,distance,left_to_right,False
100,wiener_index,,,,4,distance,left_to_right,False
100,density,0.02060628800582868,0.008272144044587775,0.027002124301406576,4,distance,left_to_right,False
100,local_edge_connectivity,0.0011137483848680464,-0.05369949388760527,0.07767935753252901,4,distance,left_to_right,False
100,local_reaching_centrality,1.1374761059832517e-16,-1.9795194852753192e-16,,4,distance,left_to_right,False
100,closeness_centrality,0.07602317806955719,-0.19730245225194964,-0.1992847512554235,4,distance,left_to_right,False
100,dispersion,,,,4,distance,left_to_right,False
100,shortest_path_length_left_to_right,-0.4293063274029093,-0.6683265710833316,-0.2752493515757756,4,distance,left_to_right,False
100,maximum_flow_value_left_to_right,-0.19948849729139473,-0.39163415145073077,0.022221539255411416,4,distance,left_to_right,False
100,minimum_cut_value_left_to_right,-0.19948849729139473,-0.39163415145073077,0.022221539255411416,4,distance,left_to_right,False
100,node_connectivity,0.0011137483848680464,-0.05369949388760527,0.07767935753252901,4,sq_distance,,False
100,average_node_connectivity,0.015258488675757116,-0.009102553946410732,0.04437943922420533,4,sq_distance,,False
100,average_clustering,0.03473116791522723,0.05888553011428925,-0.021490769815983995,4,sq_distance,,False
100,edge_connectivity,0.0011137483848680464,-0.05369949388760527,0.07767935753252901,4,sq_distance,,False
100,degree_assortativity_coefficient,,,,4,sq_distance,,False
100,degree_pearson_correlation_coefficient,,,,4,sq_distance,,False
100,global_reaching_centrality,0.01776839398482089,0.10680650592730685,-0.11527580079613532,4,sq_distance,,False
100,average_shortest_path_length,-0.030472527368091057,-0.0429997327167313,0.0041885174724208725,4,sq_distance,,False
100,number_of_isolates,,,,4,sq_distance,,False
100,wiener_index,-0.030472527368090974,-0.04299973271673124,0.004188517472420852,4,sq_distance,,False
100,density,0.02060628800582868,0.008272144044587775,0.027002124301406576,4,sq_distance,,False
100,diameter,-0.02951017880048998,-0.043794345436425325,-0.009568897380820292,4,sq_distance,,False
100,radius,-0.04845278831749742,-0.11968555873280236,0.07991986334091518,4,sq_distance,,False
100,estrada_index,0.013472654409330332,-0.01406924390518754,0.05226129950771683,4,sq_distance,,False
100,graph_clique_number,0.02951017880048998,0.043794345436425325,0.009568897380820292,4,sq_distance,,False
100,graph_number_of_cliques,-0.02951017880048998,-0.043794345436425325,-0.009568897380820292,4,sq_distance,,False
100,number_connected_components,,,,4,sq_distance,,False
100,local_efficiency,0.03433187623383236,0.05747735287883955,-0.0248547634727021,4,sq_distance,,False
100,global_efficiency,0.024673676178873026,0.022246465359817166,0.014681592380844122,4,sq_distance,,False
100,local_edge_connectivity,0.0011137483848680464,-0.05369949388760527,0.07767935753252901,4,sq_distance,,False
100,local_node_connectivity,0.0011137483848680464,-0.05369949388760527,0.07767935753252901,4,sq_distance,,False
100,closeness_centrality,0.07602317806955713,-0.19730245225194962,-0.19928475125542344,4,sq_distance,,False
100,dispersion,,,,4,sq_distance,,False
100,shortest_path_length_left_to_right,-0.5011796553285782,-0.6133703307867394,-0.5613618757452467,4,sq_distance,,False
100,maximum_flow_value_left_to_right,-0.3237280835342204,-0.46480753028861127,-0.14597773286600815,4,sq_distance,,False
100,minimum_cut_value_left_to_right,-0.3237280835342204,-0.46480753028861127,-0.14597773286600815,4,sq_distance,,False
100,node_connectivity,-0.24192330348759347,0.10199914461686964,0.17191179754912375,4,sq_distance,left_to_right,False
100,average_node_connectivity,0.014753747107453145,-0.009602060720685233,0.04973322391278962,4,sq_distance,left_to_right,False
100,average_clustering,0.03473116791522723,0.05888553011428925,-0.021490769815983995,4,sq_distance,left_to_right,False
100,edge_connectivity,,,,4,sq_distance,left_to_right,False
100,degree_assortativity_coefficient,,,,4,sq_distance,left_to_right,False
100,degree_pearson_correlation_coefficient,,,,4,sq_distance,left_to_right,False
